experiment,nominal_kappa,linear_kappa,quadratic_kappa,ordinal_gap
ensemble,0.7120950011715614,0.8338932623812543,0.9105308120338944,0.19843581086233297
exp701,0.7285693135271184,0.8353737824774896,0.9027731742348912,0.17420386070777283
exp300,0.7747964068526597,0.8616631304226559,0.9159119779513921,0.1411155710987324
exp00,0.7370161249300575,0.8291632154184934,0.8898803096978706,0.15286418476781305
