experiment,adjacent_frac,nonadjacent_frac,adj_No DR,adj_Mild,adj_Moderate,adj_Severe,adj_Proliferative
ensemble,0.8571428571428571,0.14285714285714285,0.9,1.0,1.0,1.0,0.46153846153846156
exp701,0.83,0.17,1.0,0.9473684210526315,0.8780487804878049,0.9333333333333333,0.375
exp300,0.8024691358024691,0.19753086419753085,0.75,1.0,0.875,1.0,0.23529411764705882
exp00,0.7446808510638298,0.2553191489361702,0.6,1.0,0.8181818181818182,1.0,0.1
