alpha,qwk,macro_f1,severe_f1,moderate_f1,auc_roc,ece
0.0,0.001130962407214775,0.02013888888888889,0.10069444444444445,0.0,0.5295995622397107,0.38538034184412523
0.2,-0.07823683275059823,0.025272331154684097,0.12636165577342048,0.0,0.5978365454130182,0.27319440711628307
0.3,0.10857826530344694,0.04830936758341477,0.11740890688259109,0.0,0.6280411298996579,0.19923056334257125
0.5,0.7144306904405084,0.21833924750115125,0.17164179104477612,0.013157894736842105,0.6901548027660611,0.3100796357339079
0.7,0.732344918303912,0.32934191271143354,0.23696682464454977,0.34951456310679613,0.7752078456970599,0.3694615373557264
0.8,0.7433462654982501,0.40482367066601144,0.24338624338624337,0.43508771929824563,0.8301116392471573,0.3374976522272283
1.0,0.9159119779513921,0.6944711494849226,0.3829787234042553,0.8220858895705522,0.951777627641534,0.04824871475046333
