epoch,contrastive_loss,lr
1,5.66777,0.0009990143508499217
2,5.414311,0.0009960612933065818
3,5.313059,0.00099115248173898
4,5.213203,0.0009843072889837512
5,5.133736,0.0009755527298894294
6,5.015753,0.0009649233547011816
7,4.83744,0.0009524611127067769
8,4.706374,0.0009382151866819099
9,4.584568,0.0009222417987882566
10,4.491801,0.0009046039886902864
11,4.407418,0.0008853713647665069
12,4.341367,0.0008646198293969952
13,4.288809,0.0008424312794113801
14,4.249418,0.0008188932828794706
15,4.212331,0.0007940987335200906
16,4.174006,0.0007681454840920089
17,4.102894,0.0007411359602138069
18,4.081924,0.0007131767561367538
19,4.086532,0.0006843782140659967
20,4.076107,0.0006548539886902863
21,4.076593,0.0006247205986388449
22,4.073442,0.0005940969666355696
23,4.06949,0.0005631039501653701
24,4.069399,0.0005318638645048921
25,4.065978,0.0005005
26,4.059141,0.00046913613549510796
27,4.060201,0.00043789604983463003
28,4.062166,0.00040690303336443054
29,4.062749,0.000376279401361155
30,4.062675,0.00034614601130971394
31,4.061272,0.00031662178593400354
32,4.056104,0.00028782324386324626
33,4.053027,0.00025986403978619317
34,4.055736,0.00023285451590799105
35,4.058842,0.0002069012664799097
36,4.047832,0.00018210671712052946
37,4.047347,0.00015856872058861996
38,4.048608,0.00013638017060300502
39,4.05156,0.0001156286352334933
40,4.043913,9.639601130971378e-05
41,4.046093,7.875820121174356e-05
42,4.047332,6.278481331809012e-05
43,4.045949,4.853888729322332e-05
44,4.046676,3.607664529881844e-05
45,4.052281,2.5447270110570804e-05
46,4.04268,1.6692711016248827e-05
47,4.047943,9.84751826101998e-06
48,4.042279,4.938706693418354e-06
49,4.04532,1.9856491500783555e-06
50,4.040207,1e-06
