space,qwk,macro_f1,accuracy
rgb,0.7873013528318378,0.580689552135326,0.7537473233404711
hsv,0.7384214372515046,0.5532451710391842,0.7109207708779444
lab,0.7785481004518278,0.5681919505569496,0.7301927194860813
green,0.8379292223180732,0.6145329938878327,0.7837259100642399
