variant,qwk,macro_f1,accuracy
raw,0.8273894706913709,0.6142931190395127,0.7751605995717344
clahe_green,0.779335328398173,0.5521747530340841,0.7301927194860813
bg_nosubtract,0.7893954927052029,0.5843185947309312,0.7516059957173448
bg_sigma10,0.8230462142228838,0.5907000737701921,0.7623126338329764
bg_sigma20,0.8067636346752355,0.5827431649879611,0.7451820128479657
bg_sigma30,0.8143211466005263,0.6143527863856117,0.7623126338329764
bg_sigma50,0.7817201967110949,0.5691501424267382,0.7301927194860813
