epoch,contrastive_loss,lr
1,5.718902,0.0009984602081996976
2,5.371406,0.0009938503261272714
3,5.097943,0.0009861987752386395
4,4.849259,0.0009755527298894294
5,4.582944,0.0009619778264893878
6,4.413274,0.0009455577588320898
7,4.242795,0.0009263937620948692
8,4.108551,0.0009046039886902864
9,4.098973,0.0008803227798172156
10,4.090781,0.0008536998372026805
11,4.087585,0.0008248993001409269
12,4.082705,0.0007940987335200904
13,4.081473,0.0007614880330756164
14,4.077978,0.0007272682546199036
15,4.071405,0.0006916503744663624
16,4.068983,0.0006548539886902863
17,4.066828,0.0006171059592460248
18,4.064721,0.0005786390152875953
19,4.066141,0.0005396903183160585
20,4.060235,0.0005005
21,4.063225,0.00046130968168394147
22,4.069841,0.00042236098471240476
23,4.057588,0.00038389404075397525
24,4.058835,0.0003461460113097137
25,4.054809,0.00030934962553363763
26,4.054981,0.00027373174538009633
27,4.053923,0.0002395119669243835
28,4.047954,0.00020690126647990968
29,4.051977,0.00017610069985907328
30,4.043395,0.0001473001627973195
31,4.044174,0.0001206772201827845
32,4.044167,9.639601130971376e-05
33,4.049352,7.460623790513092e-05
34,4.041928,5.544224116791026e-05
35,4.041837,3.902217351061226e-05
36,4.036097,2.54472701105708e-05
37,4.035171,1.4801224761360556e-05
38,4.040994,7.149673872728737e-06
39,4.036337,2.539791800302582e-06
40,4.038752,1e-06
